public	user_app_grants	Users can insert own grants	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	3a807491e0a912fbfbee0ffa087b82f6
public	user_app_grants	Users can read own grants	SELECT	{authenticated}	3a807491e0a912fbfbee0ffa087b82f6	d41d8cd98f00b204e9800998ecf8427e
public	user_app_grants	Users can update own grants	UPDATE	{authenticated}	3a807491e0a912fbfbee0ffa087b82f6	d41d8cd98f00b204e9800998ecf8427e
public	user_vault_meta	Users can insert own vault metadata	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	3a807491e0a912fbfbee0ffa087b82f6
public	user_vault_meta	Users can read own vault metadata	SELECT	{authenticated}	3a807491e0a912fbfbee0ffa087b82f6	d41d8cd98f00b204e9800998ecf8427e
public	user_vault_meta	Users can update own vault metadata	UPDATE	{authenticated}	3a807491e0a912fbfbee0ffa087b82f6	d41d8cd98f00b204e9800998ecf8427e
public	user_vault_meta	co-admins can read owner vault meta	SELECT	{authenticated}	cc48084dd5f6d4b234d6d5cb6bf3934b	d41d8cd98f00b204e9800998ecf8427e
public	vault_security_events	Users can insert their own vault security events	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	19300d155780585259ede73ac370586c
public	vault_security_events	Users can read their own vault security events	SELECT	{authenticated}	19300d155780585259ede73ac370586c	d41d8cd98f00b204e9800998ecf8427e
public	wages	public_read_wages	SELECT	{anon,authenticated}	e6da3cc9a7e62dcc8c0f6cce3e27d4c2	d41d8cd98f00b204e9800998ecf8427e
public	waitlist	Anyone can join waitlist	INSERT	{anon,authenticated}	d41d8cd98f00b204e9800998ecf8427e	b326b5062b2f0e69046810717534cb09
public	webhook_delivery	webhook_delivery service role only	ALL	{service_role}	b326b5062b2f0e69046810717534cb09	b326b5062b2f0e69046810717534cb09
public	workspace_admins	workspace_admins: owner and admin can read their rows	SELECT	{authenticated}	00ffd6253c24e08edf2f35cb30ab3212	d41d8cd98f00b204e9800998ecf8427e
public	workspace_admins	workspace_admins: owner can delete	DELETE	{public}	01f51f0846ad728411df7afcfae01e11	d41d8cd98f00b204e9800998ecf8427e
public	workspace_admins	workspace_admins: owner can insert	INSERT	{public}	d41d8cd98f00b204e9800998ecf8427e	01f51f0846ad728411df7afcfae01e11
public	wrapped_data_keys	Recipients can read their own wrapped data keys	SELECT	{authenticated}	b642f2dc16ef9d6d7df9f6a29fb52334	d41d8cd98f00b204e9800998ecf8427e
public	wrapped_data_keys	wrapped_data_keys: owner can delete their wrapped keys	DELETE	{public}	b06603c2653b9633376049652720d905	d41d8cd98f00b204e9800998ecf8427e
public	wrapped_data_keys	wrapped_data_keys: owner can insert for admins	INSERT	{public}	d41d8cd98f00b204e9800998ecf8427e	b06603c2653b9633376049652720d905
